

=== Predictions on test data ===

 inst#     actual  predicted error prediction ()
     1        1:n        1:n       0.929 
     2        1:n        1:n       0.929 
     3        1:n        1:n       0.929 
     4        1:n        2:y   +   0.529 
     5        1:n        1:n       0.929 
     6        1:n        1:n       0.929 
     7        1:n        1:n       0.929 
     8        1:n        1:n       0.929 
     9        1:n        1:n       0.929 
    10        2:y        2:y       0.981 
    11        1:n        1:n       0.929 
    12        1:n        1:n       0.929 
    13        2:y        2:y       0.981 
    14        2:y        2:y       0.981 
    15        1:n        1:n       0.929 
    16        1:n        1:n       0.929 
    17        2:y        2:y       0.981 
    18        2:y        2:y       0.981 
    19        1:n        1:n       0.929 
    20        2:y        2:y       0.981 
    21        2:y        2:y       0.981 
    22        2:y        2:y       0.981 
    23        2:y        2:y       0.981 
    24        2:y        2:y       0.981 
    25        2:y        2:y       0.981 
    26        2:y        2:y       0.981 
    27        2:y        2:y       0.981 
    28        2:y        2:y       0.981 
    29        2:y        2:y       0.866 
    30        2:y        2:y       0.981 
    31        1:n        1:n       0.929 
    32        2:y        2:y       0.981 
    33        2:y        2:y       0.981 
    34        1:n        1:n       0.929 
    35        2:y        2:y       0.981 
    36        1:n        1:n       0.929 
    37        1:n        1:n       0.929 
    38        1:n        1:n       0.929 
    39        1:n        1:n       0.929 
    40        2:y        2:y       0.981 
    41        2:y        2:y       0.981 
    42        2:y        2:y       0.981 
    43        2:y        2:y       0.981 
    44        2:y        2:y       0.981 
    45        2:y        2:y       0.981 
    46        2:y        2:y       0.981 
    47        2:y        2:y       0.981 
    48        2:y        2:y       0.981 
    49        2:y        2:y       0.981 
    50        1:n        1:n       0.929 
    51        2:y        2:y       0.981 
    52        1:?        1:n       0.929 
    53        2:y        2:y       0.981 
    54        1:n        1:n       0.929 
    55        2:y        2:y       0.981 
    56        1:n        1:n       0.929 
    57        1:n        1:n       0.929 
    58        1:n        1:n       0.929 
    59        1:n        1:n       0.929 
    60        1:n        1:n       0.929 
    61        2:y        2:y       0.981 
    62        1:n        1:n       0.929 
    63        2:y        2:y       0.981 
    64        2:y        2:y       0.981 
    65        2:y        2:y       0.981 
    66        1:n        1:n       0.698 
    67        1:n        1:n       0.698 
    68        1:n        1:n       0.929 
