

=== Predictions on test data ===

 inst#     actual  predicted error prediction ()
     1        1:n        1:n       0.975 
     2        1:n        1:n       0.975 
     3        2:y        2:y       0.72 
     4        2:y        2:y       0.72 
     5        2:y        2:y       0.502 
     6        2:y        2:y       0.72 
     7        1:n        2:y   +   0.72 
     8        1:n        1:n       0.975 
     9        1:n        1:n       0.975 
    10        2:y        2:y       0.945 
    11        1:n        1:n       0.975 
    12        1:n        1:n       0.975 
    13        2:y        2:y       0.945 
    14        2:y        2:y       0.945 
    15        1:n        1:n       0.975 
    16        1:n        1:n       0.975 
    17        2:y        2:y       0.954 
    18        2:y        2:y       0.954 
    19        1:n        1:n       0.975 
    20        2:y        2:y       0.954 
    21        2:y        2:y       0.954 
    22        2:y        2:y       0.954 
    23        2:y        2:y       0.954 
    24        2:y        2:y       0.954 
    25        2:y        2:y       0.945 
    26        2:y        2:y       0.954 
    27        2:y        2:y       0.954 
    28        2:y        2:y       0.954 
    29        1:n        1:n       0.704 
    30        2:y        2:y       0.954 
    31        1:n        1:n       0.975 
    32        2:y        2:y       0.945 
    33        2:y        2:y       0.954 
    34        1:n        1:n       0.975 
    35        2:y        2:y       0.954 
    36        1:n        1:n       0.975 
    37        1:n        1:n       0.975 
    38        1:n        1:n       0.975 
    39        1:n        1:n       0.975 
    40        2:y        2:y       0.954 
    41        2:y        2:y       0.945 
    42        2:y        2:y       0.945 
    43        2:y        2:y       0.954 
    44        2:y        2:y       0.954 
    45        2:y        2:y       0.945 
    46        2:y        2:y       0.945 
    47        2:y        2:y       0.954 
    48        2:y        2:y       0.945 
    49        2:y        2:y       0.954 
    50        1:n        1:n       0.975 
    51        2:y        2:y       0.954 
    52        1:n        1:n       0.975 
    53        2:y        2:y       0.945 
    54        1:n        1:n       0.975 
    55        2:y        2:y       0.945 
    56        1:n        1:n       0.975 
    57        1:n        1:n       0.975 
    58        1:n        1:n       0.975 
    59        1:n        1:n       0.975 
    60        1:n        1:n       0.975 
    61        2:y        2:y       0.945 
    62        1:n        1:n       0.975 
    63        2:y        2:y       0.945 
    64        2:y        2:y       0.954 
    65        2:y        2:y       0.954 
    66        1:n        1:n       0.704 
    67        1:n        1:n       0.704 
    68        1:n        1:n       0.975 
    69        2:y        2:y       0.954 
    70        2:y        2:y       0.954 
    71        2:y        2:y       0.945 
    72        2:y        2:y       0.85 
    73        2:y        2:y       0.945 
    74        2:y        1:n   +   0.69 
    75        2:y        2:y       0.954 
    76        2:y        2:y       0.72 
    77        2:y        2:y       0.75 
    78        2:y        2:y       0.954 
    79        2:y        2:y       0.72 
    80        1:n        1:n       0.975 
    81        2:y        2:y       0.945 
    82        2:y        2:y       0.954 
    83        1:n        1:n       0.975 
    84        1:n        1:n       0.975 
    85        1:n        1:n       0.975 
    86        2:y        2:y       0.75 
    87        1:n        1:n       0.975 
    88        1:n        1:n       0.975 
    89        2:y        2:y       0.72 
    90        1:n        1:n       0.975 
    91        2:y        2:y       0.954 
    92        2:y        2:y       0.954 
    93        2:y        2:y       0.954 
    94        2:y        2:y       0.72 
    95        2:y        2:y       0.72 
    96        2:y        2:y       0.878 
    97        1:?        2:y   +   0.75 
    98        1:n        2:y   +   0.72 
    99        2:y        2:y       0.954 
   100        1:n        1:n       0.975 
   101        1:n        1:n       0.939 
   102        2:y        2:y       0.72 
   103        2:y        2:y       0.72 
   104        1:n        2:y   +   0.72 
   105        1:?        2:y   +   0.945 
   106        2:y        2:y       0.954 
   107        1:n        1:n       0.975 
   108        1:?        1:n       0.866 
   109        2:y        2:y       0.945 
   110        2:y        2:y       0.945 
   111        2:y        2:y       0.954 
   112        1:n        1:n       0.975 
   113        2:y        2:y       0.945 
   114        1:n        1:n       0.975 
   115        2:y        2:y       0.945 
   116        2:y        2:y       0.954 
   117        2:y        2:y       0.954 
   118        2:y        1:n   +   0.704 
   119        2:y        2:y       0.954 
   120        1:n        1:n       0.975 
   121        1:?        1:n       0.975 
   122        1:n        1:n       0.975 
   123        1:n        1:n       0.975 
   124        1:n        1:n       0.975 
   125        2:y        2:y       0.954 
   126        1:n        1:n       0.975 
   127        1:n        1:n       0.975 
   128        2:y        2:y       0.954 
   129        2:y        2:y       0.954 
   130        2:y        2:y       0.945 
   131        2:y        2:y       0.945 
   132        2:y        2:y       0.954 
   133        1:n        1:n       0.975 
   134        1:n        1:n       0.975 
   135        1:n        1:n       0.975 
   136        1:n        1:n       0.975 
   137        1:n        1:n       0.975 
   138        2:y        2:y       0.954 
   139        2:y        2:y       0.954 
   140        2:y        2:y       0.954 
   141        1:n        2:y   +   0.85 
   142        1:n        1:n       0.704 
   143        1:n        1:n       0.704 
   144        1:n        2:y   +   0.954 
   145        1:n        2:y   +   0.945 
   146        2:y        2:y       0.954 
   147        1:n        1:n       0.975 
   148        1:n        2:y   +   0.954 
   149        1:n        1:n       0.975 
   150        2:y        2:y       0.954 
   151        1:n        1:n       0.975 
   152        1:?        2:y   +   0.75 
   153        2:y        2:y       0.954 
   154        2:y        2:y       0.954 
   155        1:n        1:n       0.975 
   156        1:n        1:n       0.975 
   157        1:n        1:n       0.704 
   158        2:y        2:y       0.945 
   159        1:n        1:n       0.975 
   160        2:y        2:y       0.945 
   161        1:n        1:n       1 
   162        1:n        1:n       1 
   163        2:y        2:y       0.75 
   164        1:n        1:n       0.704 
   165        1:n        1:n       0.811 
   166        2:y        2:y       0.945 
   167        2:y        2:y       0.721 
   168        2:y        2:y       0.721 
   169        2:y        2:y       0.72 
   170        2:y        2:y       0.954 
   171        2:y        2:y       0.945 
   172        1:n        1:n       0.975 
   173        2:y        2:y       0.954 
   174        1:n        2:y   +   0.75 
   175        2:y        2:y       0.945 
   176        2:y        2:y       0.954 
   177        2:y        2:y       0.85 
   178        2:y        2:y       0.954 
   179        2:y        2:y       0.945 
   180        2:y        2:y       0.954 
   181        2:y        2:y       0.945 
   182        2:y        2:y       0.954 
   183        2:y        2:y       0.954 
   184        1:?        2:y   +   0.888 
   185        2:y        2:y       0.954 
   186        2:y        2:y       0.954 
   187        2:y        2:y       0.954 
   188        2:y        2:y       0.945 
   189        1:n        1:n       0.634 
   190        2:y        2:y       0.954 
   191        1:n        1:n       0.975 
   192        1:n        1:n       0.975 
   193        1:n        2:y   +   0.954 
   194        2:y        2:y       0.954 
   195        2:y        2:y       0.915 
