

=== Predictions on test data ===

 inst#     actual  predicted error prediction ()
     1        2:y        2:y       0.998 
     2        2:y        2:y       0.998 
     3        2:y        2:y       0.998 
     4        1:?        2:y   +   1 
     5        2:y        2:y       0.998 
     6        2:y        2:y       0.998 
     7        2:y        2:y       0.998 
     8        2:y        2:y       0.998 
     9        2:y        2:y       0.998 
    10        1:n        1:n       0.979 
    11        2:y        2:y       0.998 
    12        2:y        2:y       0.998 
    13        1:n        1:n       0.979 
    14        1:n        1:n       0.979 
    15        2:y        2:y       0.998 
    16        2:y        2:y       0.998 
    17        1:n        2:y   +   0.842 
    18        1:n        1:n       0.979 
    19        2:y        2:y       0.998 
    20        1:n        1:n       0.979 
    21        1:n        1:n       0.979 
    22        1:n        1:n       0.979 
    23        1:n        1:n       0.979 
    24        1:n        1:n       0.979 
    25        1:n        1:n       0.979 
    26        1:n        1:n       0.979 
    27        1:n        1:n       0.979 
    28        1:n        1:n       0.979 
    29        2:y        2:y       0.709 
    30        1:n        1:n       0.979 
    31        2:y        2:y       0.998 
    32        1:n        1:n       0.979 
    33        1:n        1:n       0.979 
    34        2:y        2:y       0.998 
    35        1:n        1:n       0.979 
    36        2:y        2:y       0.998 
    37        2:y        2:y       0.998 
    38        2:y        2:y       0.998 
    39        2:y        2:y       0.998 
    40        1:n        1:n       0.979 
    41        1:n        1:n       0.979 
    42        1:n        1:n       0.979 
    43        1:n        1:n       0.979 
    44        1:n        1:n       0.979 
    45        1:n        1:n       0.979 
    46        1:n        1:n       0.979 
    47        1:n        1:n       0.979 
    48        1:n        1:n       0.979 
    49        1:n        1:n       0.979 
    50        2:y        2:y       0.998 
    51        1:n        1:n       0.979 
    52        2:y        2:y       0.999 
    53        1:n        1:n       0.979 
    54        2:y        2:y       0.998 
    55        1:n        1:n       0.882 
    56        2:y        2:y       0.998 
    57        2:y        2:y       0.998 
    58        2:y        2:y       0.998 
    59        2:y        2:y       0.998 
    60        2:y        2:y       0.998 
    61        1:n        1:n       0.979 
    62        2:y        2:y       0.998 
    63        1:n        1:n       0.979 
    64        1:n        1:n       0.979 
    65        1:n        1:n       0.979 
    66        2:y        2:y       0.998 
    67        2:y        2:y       0.998 
    68        2:y        2:y       0.998 
    69        1:n        1:n       0.979 
    70        1:n        1:n       0.979 
    71        1:n        1:n       0.979 
    72        1:n        1:n       1 
    73        1:n        1:n       0.979 
    74        2:y        2:y       0.998 
    75        1:n        1:n       0.979 
    76        2:y        2:y       0.998 
    77        2:y        2:y       0.998 
    78        2:y        1:n   +   0.859 
    79        2:y        2:y       0.998 
    80        2:y        2:y       0.998 
    81        1:n        1:n       0.979 
    82        1:n        1:n       0.979 
    83        2:y        2:y       0.998 
    84        2:y        2:y       0.998 
    85        2:y        2:y       0.998 
    86        2:y        2:y       0.998 
    87        2:y        2:y       0.998 
    88        2:y        2:y       0.998 
    89        2:y        2:y       0.998 
    90        2:y        2:y       0.998 
    91        1:n        1:n       0.979 
    92        1:n        1:n       0.979 
    93        1:n        1:n       0.979 
    94        1:n        1:n       0.998 
    95        2:y        2:y       1 
    96        2:y        2:y       0.902 
    97        2:y        2:y       0.998 
    98        2:y        2:y       0.998 
    99        1:n        1:n       0.979 
   100        2:y        2:y       0.998 
   101        2:y        2:y       0.998 
   102        2:y        2:y       0.998 
   103        2:y        2:y       0.998 
   104        2:y        2:y       0.998 
   105        1:n        1:n       0.979 
   106        1:n        1:n       1 
   107        2:y        2:y       0.998 
   108        1:?        2:y   +   0.85 
   109        1:n        1:n       0.979 
   110        1:n        1:n       0.979 
   111        1:n        1:n       0.979 
   112        2:y        2:y       0.998 
   113        1:n        1:n       0.979 
   114        2:y        2:y       0.998 
   115        1:n        1:n       0.979 
   116        1:?        1:n       0.979 
   117        1:n        1:n       0.979 
   118        2:y        2:y       0.998 
   119        1:n        1:n       1 
   120        2:y        2:y       0.998 
   121        2:y        2:y       0.998 
   122        2:y        2:y       0.998 
   123        2:y        2:y       0.998 
   124        2:y        2:y       1 
   125        1:n        1:n       0.979 
   126        2:y        2:y       0.998 
   127        2:y        2:y       0.998 
   128        1:n        1:n       0.979 
   129        1:n        2:y   +   0.742 
   130        1:n        1:n       0.979 
   131        1:?        1:n       0.979 
   132        1:n        1:n       0.859 
   133        2:y        2:y       0.998 
   134        2:y        2:y       0.998 
   135        2:y        2:y       0.998 
   136        2:y        2:y       0.998 
   137        2:y        2:y       1 
   138        1:n        1:n       0.979 
   139        1:n        1:n       0.979 
   140        1:n        1:n       0.979 
   141        1:n        1:n       1 
   142        2:y        2:y       0.709 
   143        2:y        2:y       0.709 
   144        1:n        1:n       0.979 
   145        1:n        1:n       0.979 
   146        1:n        1:n       0.979 
   147        2:y        2:y       0.998 
   148        1:n        1:n       0.979 
   149        2:y        2:y       0.998 
   150        1:n        1:n       0.979 
   151        2:y        2:y       0.998 
   152        2:y        2:y       0.998 
   153        1:n        1:n       0.859 
   154        1:n        1:n       0.979 
   155        2:y        2:y       0.998 
   156        2:y        2:y       0.999 
   157        2:y        2:y       0.998 
   158        1:n        1:n       0.859 
   159        2:y        2:y       0.998 
   160        1:?        1:n       0.979 
   161        2:y        2:y       0.998 
   162        2:y        2:y       0.998 
   163        2:y        2:y       0.998 
   164        2:y        2:y       0.998 
   165        2:y        2:y       0.998 
   166        1:n        1:n       0.979 
   167        2:y        2:y       1 
   168        2:y        2:y       1 
   169        2:y        2:y       0.998 
   170        1:n        1:n       0.979 
   171        1:n        1:n       0.981 
   172        2:y        2:y       0.998 
   173        1:n        1:n       0.979 
   174        2:y        2:y       0.998 
   175        1:n        1:n       0.979 
   176        1:n        1:n       0.979 
   177        1:n        1:n       1 
   178        1:n        1:n       0.979 
   179        1:n        1:n       0.979 
   180        1:n        1:n       0.979 
   181        1:n        1:n       0.979 
   182        1:n        1:n       0.979 
   183        1:n        1:n       0.979 
   184        1:?        1:n       0.561 
   185        1:n        1:n       0.979 
   186        1:n        1:n       0.979 
   187        1:n        1:n       0.979 
   188        1:n        1:n       0.979 
   189        2:y        2:y       1 
   190        1:n        1:n       0.979 
   191        2:y        2:y       0.998 
   192        2:y        2:y       0.999 
   193        1:n        1:n       0.979 
   194        1:n        1:n       0.979 
   195        1:n        1:n       0.987 
   196        2:y        2:y       0.998 
   197        1:n        1:n       0.979 
   198        2:y        2:y       0.998 
   199        1:n        1:n       0.979 
   200        1:n        1:n       0.979 
   201        1:n        1:n       0.979 
   202        1:n        1:n       0.979 
   203        1:n        1:n       0.979 
   204        1:n        1:n       0.979 
   205        2:y        2:y       0.998 
   206        1:n        1:n       0.979 
   207        2:y        2:y       0.998 
   208        2:y        2:y       0.998 
   209        1:n        1:n       0.979 
   210        1:n        1:n       0.979 
   211        1:n        1:n       0.979 
   212        2:y        2:y       0.998 
   213        1:n        1:n       0.979 
   214        1:n        1:n       0.859 
   215        2:y        2:y       0.998 
   216        2:y        2:y       0.998 
   217        2:y        2:y       0.998 
   218        2:y        2:y       0.998 
   219        1:n        1:n       0.979 
   220        1:n        1:n       1 
   221        1:n        1:n       0.979 
   222        2:y        2:y       1 
   223        1:n        1:n       0.979 
   224        2:y        2:y       0.998 
   225        2:y        2:y       0.998 
