

=== Predictions on test data ===

 inst#     actual  predicted error prediction ()
     1        2:y        2:y       0.981 
     2        2:y        2:y       0.981 
     3        2:y        2:y       0.886 
     4        1:n        2:y   +   0.842 
     5        2:y        2:y       0.886 
     6        2:y        2:y       0.886 
     7        2:y        2:y       0.886 
     8        2:y        2:y       0.981 
     9        2:y        2:y       0.981 
    10        1:n        1:n       0.89 
    11        2:y        2:y       0.981 
    12        2:y        2:y       0.981 
    13        1:n        1:n       0.89 
    14        1:n        1:n       0.703 
    15        1:?        2:y   +   0.981 
    16        1:?        2:y   +   0.981 
    17        1:n        1:n       0.583 
    18        1:n        1:n       0.89 
    19        2:y        2:y       0.981 
    20        1:n        1:n       0.89 
    21        1:n        1:n       0.846 
    22        1:?        1:n       0.89 
    23        1:n        1:n       0.89 
    24        1:n        1:n       0.89 
    25        1:n        1:n       0.89 
    26        1:n        1:n       0.89 
    27        1:n        1:n       0.89 
    28        1:n        1:n       0.89 
    29        2:y        2:y       0.981 
    30        1:n        1:n       0.89 
    31        2:y        2:y       0.981 
    32        1:n        1:n       0.89 
    33        1:n        1:n       0.89 
    34        2:y        2:y       0.981 
    35        1:n        1:n       0.89 
    36        2:y        2:y       0.981 
    37        2:y        2:y       0.981 
    38        2:y        2:y       0.981 
    39        2:y        2:y       0.981 
    40        1:n        1:n       0.89 
    41        1:n        1:n       0.89 
    42        1:n        1:n       0.89 
    43        1:n        1:n       0.89 
    44        1:n        1:n       0.89 
    45        1:n        1:n       0.89 
    46        1:n        1:n       0.89 
    47        1:n        1:n       0.89 
    48        1:n        1:n       0.89 
    49        2:y        1:n   +   0.89 
    50        2:y        2:y       0.981 
    51        1:n        1:n       0.89 
    52        2:y        2:y       0.981 
    53        1:n        1:n       0.89 
    54        2:y        2:y       0.981 
    55        2:y        2:y       1 
    56        2:y        2:y       0.981 
    57        2:y        2:y       0.981 
    58        2:y        2:y       0.981 
    59        2:y        2:y       0.981 
    60        2:y        2:y       0.981 
    61        1:n        1:n       0.846 
    62        2:y        2:y       0.981 
    63        1:n        1:n       0.89 
    64        1:n        1:n       0.89 
    65        1:n        1:n       0.89 
    66        2:y        2:y       0.981 
    67        2:y        2:y       0.981 
    68        2:y        2:y       0.981 
    69        1:n        1:n       0.89 
    70        1:n        1:n       0.89 
    71        1:n        1:n       0.89 
    72        2:y        2:y       0.981 
    73        1:n        1:n       0.89 
    74        2:y        2:y       0.981 
    75        2:y        1:n   +   0.771 
    76        2:y        2:y       0.886 
    77        2:y        2:y       0.886 
    78        2:y        2:y       0.694 
    79        2:y        2:y       0.886 
    80        2:y        2:y       0.981 
    81        2:y        2:y       0.845 
    82        2:y        1:n   +   0.89 
    83        2:y        2:y       0.981 
    84        2:y        2:y       0.981 
    85        2:y        2:y       0.981 
    86        2:y        2:y       0.886 
    87        2:y        2:y       0.981 
    88        2:y        2:y       0.981 
    89        2:y        2:y       0.886 
    90        2:y        2:y       0.981 
    91        1:n        1:n       0.89 
    92        1:n        1:n       0.89 
    93        1:?        1:n       0.89 
    94        1:n        1:n       0.974 
    95        1:n        2:y   +   0.886 
    96        1:?        1:n       0.653 
    97        2:y        2:y       0.886 
    98        2:y        2:y       0.886 
    99        1:n        1:n       1 
   100        2:y        2:y       0.981 
   101        2:y        2:y       0.886 
   102        2:y        2:y       0.886 
   103        2:y        2:y       0.886 
   104        2:y        2:y       0.886 
   105        2:y        2:y       0.701 
   106        1:n        1:n       0.89 
   107        2:y        2:y       0.981 
   108        2:y        2:y       0.981 
   109        1:n        1:n       0.89 
   110        1:n        1:n       0.89 
   111        1:n        1:n       0.89 
   112        2:y        2:y       0.981 
   113        1:n        1:n       0.771 
   114        2:y        2:y       0.981 
   115        1:n        1:n       0.89 
   116        1:n        1:n       0.821 
   117        1:n        1:n       0.89 
   118        2:y        2:y       0.981 
   119        1:n        1:n       0.89 
   120        2:y        2:y       0.981 
   121        2:y        2:y       0.981 
   122        2:y        2:y       0.981 
   123        2:y        2:y       0.981 
   124        2:y        2:y       0.981 
   125        1:n        1:n       0.89 
   126        2:y        2:y       0.981 
   127        2:y        2:y       0.981 
   128        2:y        1:n   +   0.89 
   129        1:n        1:n       0.771 
   130        1:?        1:n       0.89 
   131        1:n        1:n       0.846 
   132        2:y        2:y       0.845 
   133        2:y        2:y       0.981 
   134        2:y        2:y       0.981 
   135        2:y        2:y       0.981 
   136        2:y        2:y       0.981 
   137        1:n        2:y   +   0.981 
   138        2:y        1:n   +   0.771 
   139        2:y        2:y       0.845 
   140        1:n        1:n       0.771 
   141        2:y        2:y       0.981 
   142        2:y        2:y       0.981 
   143        2:y        2:y       0.981 
   144        2:y        1:n   +   0.89 
   145        2:y        2:y       0.792 
   146        2:y        2:y       0.506 
   147        2:y        2:y       0.981 
   148        2:y        1:n   +   0.89 
   149        2:y        2:y       0.981 
   150        1:n        1:n       0.89 
   151        2:y        2:y       0.981 
   152        2:y        2:y       0.886 
